date,PCE,PCE_YoY
1990-01-01,59.181,3.55
1990-02-01,59.468,3.79
1990-03-01,59.754,3.98
1990-04-01,59.932,3.94
1990-05-01,60.115,3.95
1990-06-01,60.349,4.07
1990-07-01,60.501,4.07
1990-08-01,60.753,4.36
1990-09-01,60.965,4.36
1990-10-01,61.172,4.33
1990-11-01,61.246,4.18
1990-12-01,61.331,4.03
1991-01-01,61.637,4.15
1991-02-01,61.807,3.93
1991-03-01,61.936,3.65
1991-04-01,62.06,3.55
1991-05-01,62.307,3.65
1991-06-01,62.442,3.47
1991-07-01,62.632,3.52
1991-08-01,62.804,3.38
1991-09-01,63.055,3.43
1991-10-01,63.194,3.31
1991-11-01,63.312,3.37
1991-12-01,63.468,3.48
1992-01-01,63.641,3.25
1992-02-01,63.814,3.25
1992-03-01,63.973,3.29
1992-04-01,64.183,3.42
1992-05-01,64.273,3.16
1992-06-01,64.323,3.01
1992-07-01,64.566,3.09
1992-08-01,64.625,2.9
1992-09-01,64.73,2.66
1992-10-01,64.979,2.82
1992-11-01,65.121,2.86
1992-12-01,65.242,2.8
1993-01-01,65.432,2.81
1993-02-01,65.557,2.73
1993-03-01,65.7,2.7
1993-04-01,65.891,2.66
1993-05-01,66.114,2.86
1993-06-01,66.177,2.88
1993-07-01,66.314,2.71
1993-08-01,66.438,2.81
1993-09-01,66.538,2.79
1993-10-01,66.647,2.57
1993-11-01,66.819,2.61
1993-12-01,66.849,2.46
1994-01-01,66.902,2.25
1994-02-01,67.047,2.27
1994-03-01,67.275,2.4
1994-04-01,67.376,2.25
1994-05-01,67.526,2.14
1994-06-01,67.676,2.27
1994-07-01,67.818,2.27
1994-08-01,67.894,2.19
1994-09-01,67.997,2.19
1994-10-01,68.157,2.27
1994-11-01,68.282,2.19
1994-12-01,68.305,2.18
1995-01-01,68.475,2.35
1995-02-01,68.587,2.3
1995-03-01,68.755,2.2
1995-04-01,68.915,2.28
1995-05-01,69.032,2.23
1995-06-01,69.092,2.09
1995-07-01,69.201,2.04
1995-08-01,69.367,2.17
1995-09-01,69.458,2.15
1995-10-01,69.627,2.16
1995-11-01,69.672,2.04
1995-12-01,69.77,2.14
1996-01-01,69.849,2.01
1996-02-01,69.94,1.97
1996-03-01,70.102,1.96
1996-04-01,70.197,1.86
1996-05-01,70.319,1.86
1996-06-01,70.373,1.85
1996-07-01,70.505,1.88
1996-08-01,70.566,1.73
1996-09-01,70.78,1.9
1996-10-01,70.948,1.9
1996-11-01,71.041,1.96
1996-12-01,71.068,1.86
1997-01-01,71.144,1.85
1997-02-01,71.29,1.93
1997-03-01,71.46,1.94
1997-04-01,71.6,2.0
1997-05-01,71.652,1.9
1997-06-01,71.758,1.97
1997-07-01,71.807,1.85
1997-08-01,71.778,1.72
1997-09-01,71.927,1.62
1997-10-01,72.036,1.53
1997-11-01,72.058,1.43
1997-12-01,72.1,1.45
1998-01-01,72.21,1.5
1998-02-01,72.272,1.38
1998-03-01,72.349,1.24
1998-04-01,72.482,1.23
1998-05-01,72.552,1.26
1998-06-01,72.461,0.98
1998-07-01,72.665,1.19
1998-08-01,72.807,1.43
1998-09-01,72.795,1.21
1998-10-01,72.937,1.25
1998-11-01,72.95,1.24
1998-12-01,73.076,1.35
1999-01-01,73.18,1.34
1999-02-01,73.155,1.22
1999-03-01,73.177,1.14
1999-04-01,73.365,1.22
1999-05-01,73.435,1.22
1999-06-01,73.474,1.4
1999-07-01,73.606,1.29
1999-08-01,73.642,1.15
1999-09-01,73.837,1.43
1999-10-01,73.963,1.41
1999-11-01,74.034,1.49
1999-12-01,74.128,1.44
2000-01-01,74.306,1.54
2000-02-01,74.415,1.72
2000-03-01,74.568,1.9
2000-04-01,74.617,1.71
