date,vix,vxn,gvz,ovx,stlfsi,hy_oas,ig_oas,move
2007-01-01,,,,,,,,
2007-01-02,,,,,,,,
2007-01-03,,,,,,,,
2007-01-04,,,,,,,,
2007-01-05,,,,,,,,
2007-01-08,,,,,,,,
2007-01-09,,,,,,,,
2007-01-10,,,,,,,,
2007-01-11,,,,,,,,
2007-01-12,,,,,,,,
2007-01-15,,,,,,,,
2007-01-16,,,,,,,,
2007-01-17,,,,,,,,
2007-01-18,,,,,,,,
2007-01-19,,,,,,,,
2007-01-22,,,,,,,,
2007-01-23,,,,,,,,
2007-01-24,,,,,,,,
2007-01-25,,,,,,,,
2007-01-26,,,,,,,,
2007-01-29,,,,,,,,
2007-01-30,,,,,,,,
2007-01-31,,,,,,,,
2007-02-01,,,,,,,,
2007-02-02,,,,,,,,
2007-02-05,,,,,,,,
2007-02-06,,,,,,,,
2007-02-07,,,,,,,,
2007-02-08,,,,,,,,
2007-02-09,,,,,,,,
2007-02-12,,,,,,,,
2007-02-13,,,,,,,,
2007-02-14,,,,,,,,
2007-02-15,,,,,,,,
2007-02-16,,,,,,,,
2007-02-19,,,,,,,,
2007-02-20,,,,,,,,
2007-02-21,,,,,,,,
2007-02-22,,,,,,,,
2007-02-23,,,,,,,,
2007-02-26,,,,,,,,
2007-02-27,,,,,,,,
2007-02-28,,,,,,,,
2007-03-01,,,,,,,,
2007-03-02,,,,,,,,
2007-03-05,,,,,,,,
2007-03-06,,,,,,,,
2007-03-07,,,,,,,,
2007-03-08,,,,,,,,
2007-03-09,,,,,,,,
2007-03-12,,,,,,,,
2007-03-13,,,,,,,,
2007-03-14,,,,,,,,
2007-03-15,,,,,,,,
2007-03-16,,,,,,,,
2007-03-19,,,,,,,,
2007-03-20,,,,,,,,
2007-03-21,,,,,,,,
2007-03-22,,,,,,,,
2007-03-23,,,,,,,,
2007-03-26,,,,,,,,
2007-03-27,,,,,,,,
2007-03-28,,,,,,,,
2007-03-29,,,,,,,,
2007-03-30,,,,,,,,
2007-03-31,,,,,,,,
2007-04-02,,,,,,,,
2007-04-03,,,,,,,,
2007-04-04,,,,,,,,
2007-04-05,,,,,,,,
2007-04-06,,,,,,,,
2007-04-09,,,,,,,,
2007-04-10,,,,,,,,
2007-04-11,,,,,,,,
2007-04-12,,,,,,,,
2007-04-13,,,,,,,,
2007-04-16,,,,,,,,
2007-04-17,,,,,,,,
2007-04-18,,,,,,,,
2007-04-19,,,,,,,,
2007-04-20,,,,,,,,
2007-04-23,,,,,,,,
2007-04-24,,,,,,,,
2007-04-25,,,,,,,,
2007-04-26,,,,,,,,
2007-04-27,,,,,,,,
2007-04-30,,,,,,,,
2007-05-01,,,,,,,,
2007-05-02,,,,,,,,
2007-05-03,,,,,,,,
2007-05-04,,,,,,,,
2007-05-07,,,,,,-0.48,1.16,
2007-05-08,,,,,,-0.46,1.14,
2007-05-09,,,,,,-0.87,1.12,
2007-05-10,,,,,,-0.77,1.1,
2007-05-11,0.11,-0.79,,,,-0.92,0.74,-1.84
2007-05-14,0.57,-0.37,,,,-1.08,0.73,-1.78
2007-05-15,0.58,-0.23,,,,-1.4,0.72,-1.97
2007-05-16,0.34,-0.65,,,,-1.28,0.71,-1.84
2007-05-17,0.33,-0.4,,,,-1.51,0.69,-1.59
2007-05-18,-0.02,-0.85,,,,-1.8,0.34,-0.85
2007-05-21,0.22,-0.77,,,,-1.83,0.67,-1.07
2007-05-22,0.1,-0.74,,,,-2.09,0.32,-1.19
2007-05-23,0.17,-0.27,,,,-2.17,0.3,-0.92
2007-05-24,0.55,0.32,,,,-2.01,0.29,-0.82
2007-05-25,0.19,-0.2,,,,-1.95,0.28,-0.74
2007-05-28,,,,,,,,
2007-05-29,0.27,0.07,,,,-2.1,0.27,-0.81
2007-05-30,-0.08,-0.33,,,,-1.9,0.61,-0.61
2007-05-31,0.01,-0.31,,,,-1.71,0.95,-0.39
2007-06-01,-0.13,-0.46,,,,-2.02,0.93,-0.55
2007-06-04,0.1,-0.45,,,,-1.77,0.91,-1.12
2007-06-05,0.26,-0.53,,,,-1.93,0.89,-1.0
2007-06-06,0.85,-0.11,,,,-1.42,0.87,-0.37
2007-06-07,1.88,1.02,,,,-1.39,1.21,1.66
2007-06-08,0.77,-0.16,,,,-1.17,1.54,2.91
2007-06-11,0.69,-0.6,,,,-1.21,1.51,1.31
2007-06-12,1.62,0.16,,,,-1.25,1.47,3.53
2007-06-13,0.65,-0.86,,,,-0.97,1.44,3.2
2007-06-14,0.09,-1.05,,,,-1.21,1.05,2.22
2007-06-15,0.22,-0.77,,,,-1.07,1.03,1.13
2007-06-18,-0.06,-0.81,,,,-0.99,1.01,0.77
2007-06-19,-0.38,-0.98,,,,-0.48,1.0,0.8
2007-06-20,0.57,-0.36,,,,-0.55,0.98,1.18
2007-06-21,0.31,-0.61,,,,-0.1,1.36,1.79
2007-06-22,1.11,-0.04,,,,0.09,1.74,1.74
2007-06-25,1.57,0.36,,,,0.78,1.73,2.02
2007-06-26,2.68,1.15,,,,0.7,2.14,1.74
2007-06-27,0.87,-0.06,,,,1.25,2.14,1.95
2007-06-28,0.86,-0.31,,,,0.91,2.56,1.43
2007-06-29,1.23,0.19,,,,1.27,2.55,1.63
2007-06-30,,,,,,1.79,2.98,
2007-07-02,0.75,-0.29,,,,2.03,3.39,1.41
2007-07-03,0.45,-0.47,,,,1.74,2.81,1.08
2007-07-04,,,,,,1.7,2.69,
2007-07-05,0.77,-0.26,,,,1.27,2.61,1.41
2007-07-06,0.35,-0.57,,,,1.15,2.51,1.15
2007-07-09,0.62,-0.22,,,,1.34,2.41,1.14
2007-07-10,2.07,0.74,,,,2.42,2.7,1.55
2007-07-11,1.56,0.13,,,,2.56,2.93,1.42
2007-07-12,0.96,-0.01,,,,2.04,2.78,1.24
2007-07-13,0.71,-0.66,,,,1.87,2.67,0.95
2007-07-16,1.0,-0.55,,,,1.88,2.88,0.72
2007-07-17,1.01,-0.17,,,,1.74,2.73,0.57
2007-07-18,1.23,-0.32,,,,2.45,2.89,0.74
2007-07-19,0.71,-0.51,,,,2.37,3.02,0.45
2007-07-20,1.9,0.49,,,,3.03,3.61,0.83
2007-07-23,1.82,0.95,,,,3.14,3.57,1.17
2007-07-24,2.88,2.57,,,,3.59,3.52,1.31
2007-07-25,2.53,2.18,,,,3.66,3.66,1.47
2007-07-26,3.82,2.75,,,,4.56,5.38,2.96
2007-07-27,4.92,5.5,,,,4.42,4.99,2.72
2007-07-30,3.06,3.1,,,,3.87,4.37,3.04
2007-07-31,3.9,4.69,,,,3.44,4.03,2.74
2007-08-01,3.62,4.28,,,,3.38,3.67,2.44
2007-08-02,2.5,2.48,,,,2.95,3.38,2.15
2007-08-03,3.68,4.02,,,,2.9,3.24,2.34
2007-08-06,2.72,2.74,,,,2.82,3.21,2.41
2007-08-07,2.17,1.94,,,,2.53,3.0,1.52
2007-08-08,2.05,1.83,,,,1.94,2.67,1.93
2007-08-09,3.4,4.11,,,,2.07,2.54,3.59
2007-08-10,3.61,3.95,,,,2.13,2.58,3.19
2007-08-13,2.93,2.8,,,,1.99,2.46,2.72
2007-08-14,3.03,2.8,,,,2.06,2.49,2.3
2007-08-15,3.48,3.63,,,,2.16,2.59,1.97
2007-08-16,3.26,3.66,,,,2.56,2.92,2.31
2007-08-17,2.89,2.82,,,,2.28,2.82,2.06
2007-08-20,2.04,2.15,,,,2.22,2.73,2.13
2007-08-21,1.76,1.62,,,,2.18,2.65,2.31
2007-08-22,1.25,1.09,,,,1.95,2.53,2.13
2007-08-23,1.17,1.07,,,,1.77,2.31,1.99
2007-08-24,0.76,0.65,,,,1.65,2.16,1.57
2007-08-27,1.15,1.21,,,,1.62,2.08,1.51
2007-08-28,1.82,2.12,,,,1.76,2.11,1.6
2007-08-29,1.29,1.41,,,,1.7,2.04,1.6
2007-08-30,1.5,1.86,,,,1.71,2.07,1.7
2007-08-31,1.14,1.57,,,,1.75,1.85,1.69
2007-09-03,,,,,,1.7,1.79,
2007-09-04,1.0,1.53,,,,1.63,1.84,1.6
2007-09-05,1.32,2.19,,,,1.67,1.83,1.72
2007-09-06,1.18,1.98,,,,1.57,1.86,1.53
2007-09-07,1.57,2.55,,,,1.73,1.99,1.79
2007-09-10,1.74,2.6,,,,1.75,2.01,1.89
2007-09-11,1.31,1.92,,,,1.65,1.99,1.97
2007-09-12,1.22,1.98,,,,1.54,1.97,1.95
2007-09-13,1.16,1.78,,,,1.37,1.9,1.79
2007-09-14,1.16,1.62,,,,1.35,1.84,1.8
2007-09-17,1.42,1.97,,0.57,,1.25,1.79,1.68
2007-09-18,0.25,0.69,,0.58,,1.15,1.74,1.32
2007-09-19,0.18,0.5,,0.19,,0.94,1.61,0.94
2007-09-20,0.25,0.36,,0.9,,0.82,1.45,1.47
2007-09-21,-0.04,0.06,,0.77,,0.74,1.33,0.75
2007-09-24,0.02,0.07,,0.27,,0.65,1.26,0.71
2007-09-25,-0.14,0.05,,0.07,,0.72,1.23,0.86
2007-09-26,-0.35,-0.01,,-0.12,,0.66,1.16,0.77
2007-09-27,-0.48,-0.02,,-0.44,,0.66,1.14,0.68
2007-09-28,-0.3,0.07,,0.27,,0.65,1.07,0.68
2007-09-30,,,,,,0.69,1.09,
2007-10-01,-0.34,0.08,,0.82,,0.66,1.07,0.72
2007-10-02,-0.22,0.11,,0.9,,0.65,1.04,0.64
2007-10-03,-0.17,0.17,,0.83,,0.58,0.98,0.53
2007-10-04,-0.26,0.14,,0.58,,0.55,0.92,0.53
2007-10-05,-0.59,-0.29,,0.31,,0.37,0.81,0.31
2007-10-08,-0.49,-0.18,,1.0,,0.35,0.8,
2007-10-09,-0.79,-0.39,,0.76,,0.24,0.73,-0.06
2007-10-10,-0.69,-0.33,,0.58,,0.17,0.63,-0.34
2007-10-11,-0.23,0.33,,0.07,,0.08,0.53,-0.6
2007-10-12,-0.49,0.01,,-0.22,,0.02,0.51,-0.79
2007-10-15,-0.16,0.58,,-0.34,,-0.03,0.45,-0.83
2007-10-16,-0.01,0.58,,0.33,,0.09,0.48,-0.64
2007-10-17,-0.34,0.18,,1.22,,0.31,0.55,-0.03
2007-10-18,-0.36,0.2,,1.38,,0.49,0.58,-0.12
2007-10-19,0.62,1.16,,1.52,,0.73,0.66,0.08
2007-10-22,0.31,0.96,,1.43,,0.76,0.74,0.17
2007-10-23,0.01,0.65,,1.34,,0.67,0.67,0.09
2007-10-24,0.08,0.8,,0.92,,0.78,0.75,0.59
