date,UNRATE,NROU
1990-01-01,5.4,5.742207317999999
1990-02-01,5.3,5.742207317999999
1990-03-01,5.2,5.742207317999999
1990-04-01,5.4,5.726720155
1990-05-01,5.4,5.726720155
1990-06-01,5.2,5.726720155
1990-07-01,5.5,5.710940989
1990-08-01,5.7,5.710940989
1990-09-01,5.9,5.710940989
1990-10-01,5.9,5.69483418
1990-11-01,6.2,5.69483418
1990-12-01,6.3,5.69483418
1991-01-01,6.4,5.678371385
1991-02-01,6.6,5.678371385
1991-03-01,6.8,5.678371385
1991-04-01,6.7,5.66153232
1991-05-01,6.9,5.66153232
1991-06-01,6.9,5.66153232
1991-07-01,6.8,5.6443053160000005
1991-08-01,6.9,5.6443053160000005
1991-09-01,6.9,5.6443053160000005
1991-10-01,7.0,5.626687688
1991-11-01,7.0,5.626687688
1991-12-01,7.3,5.626687688
1992-01-01,7.3,5.608685893
1992-02-01,7.4,5.608685893
1992-03-01,7.4,5.608685893
1992-04-01,7.4,5.590315487000001
1992-05-01,7.6,5.590315487000001
1992-06-01,7.8,5.590315487000001
1992-07-01,7.7,5.571600887000001
1992-08-01,7.6,5.571600887000001
1992-09-01,7.6,5.571600887000001
1992-10-01,7.3,5.552574942000001
1992-11-01,7.4,5.552574942000001
1992-12-01,7.4,5.552574942000001
1993-01-01,7.3,5.533867141
1993-02-01,7.1,5.533867141
1993-03-01,7.0,5.533867141
1993-04-01,7.1,5.514244935
1993-05-01,7.1,5.514244935
1993-06-01,7.0,5.514244935
1993-07-01,6.9,5.494440311
1993-08-01,6.8,5.494440311
1993-09-01,6.7,5.494440311
1993-10-01,6.8,5.474514515
1993-11-01,6.6,5.474514515
1993-12-01,6.5,5.474514515
1994-01-01,6.6,5.454533029
1994-02-01,6.6,5.454533029
1994-03-01,6.5,5.454533029
1994-04-01,6.4,5.434564342000001
1994-05-01,6.1,5.434564342000001
1994-06-01,6.1,5.434564342000001
1994-07-01,6.1,5.414678681
1994-08-01,6.0,5.414678681
1994-09-01,5.9,5.414678681
1994-10-01,5.8,5.394946723
1994-11-01,5.6,5.394946723
1994-12-01,5.5,5.394946723
1995-01-01,5.6,5.375438342000001
1995-02-01,5.4,5.375438342000001
1995-03-01,5.4,5.375438342000001
1995-04-01,5.8,5.356221389
1995-05-01,5.6,5.356221389
1995-06-01,5.6,5.356221389
1995-07-01,5.7,5.337360547
1995-08-01,5.7,5.337360547
1995-09-01,5.6,5.337360547
1995-10-01,5.5,5.318916294
1995-11-01,5.6,5.318916294
1995-12-01,5.6,5.318916294
1996-01-01,5.6,5.300943972
1996-02-01,5.5,5.300943972
1996-03-01,5.5,5.300943972
1996-04-01,5.6,5.283493
1996-05-01,5.6,5.283493
1996-06-01,5.3,5.283493
1996-07-01,5.5,5.26660624
1996-08-01,5.1,5.26660624
1996-09-01,5.2,5.26660624
1996-10-01,5.2,5.250319523
1996-11-01,5.4,5.250319523
1996-12-01,5.4,5.250319523
1997-01-01,5.3,5.234661349
1997-02-01,5.2,5.234661349
1997-03-01,5.2,5.234661349
1997-04-01,5.1,5.219652759
1997-05-01,4.9,5.219652759
1997-06-01,5.0,5.219652759
1997-07-01,4.9,5.205307376
1997-08-01,4.8,5.205307376
1997-09-01,4.9,5.205307376
1997-10-01,4.7,5.191631613
1997-11-01,4.6,5.191631613
1997-12-01,4.7,5.191631613
1998-01-01,4.6,5.178625042
1998-02-01,4.6,5.178625042
1998-03-01,4.7,5.178625042
1998-04-01,4.3,5.166280901
1998-05-01,4.4,5.166280901
1998-06-01,4.5,5.166280901
1998-07-01,4.5,5.154586724
1998-08-01,4.5,5.154586724
1998-09-01,4.6,5.154586724
1998-10-01,4.5,5.143525089
1998-11-01,4.4,5.143525089
1998-12-01,4.4,5.143525089
1999-01-01,4.3,5.133074442
1999-02-01,4.4,5.133074442
1999-03-01,4.2,5.133074442
1999-04-01,4.3,5.123209982
1999-05-01,4.2,5.123209982
1999-06-01,4.3,5.123209982
1999-07-01,4.3,5.113904587
1999-08-01,4.2,5.113904587
